fecha,provincia,region,casos_diarios,fallecidos_diarios,poblacion,casos_acumulados,fallecidos_acumulados,casos_promedio_7d,fallecidos_promedio_7d,tasa_casos_100k,tasa_fallecidos_100k,mes,nombre_mes
2021-03-16,Buenos Aires,Pampeana,111,4,17541141,4949,121,151.7,3.1,0.63,0.0228,3,Marzo
2021-03-17,Buenos Aires,Pampeana,223,3,17541141,5172,124,161.4,3.3,1.27,0.0171,3,Marzo
2021-03-18,Buenos Aires,Pampeana,210,5,17541141,5382,129,172.7,3.6,1.2,0.0285,3,Marzo
2021-03-19,Buenos Aires,Pampeana,209,3,17541141,5591,132,178.4,4.0,1.19,0.0171,3,Marzo
2021-03-20,Buenos Aires,Pampeana,161,1,17541141,5752,133,180.3,3.9,0.92,0.0057,3,Marzo
2021-03-21,Buenos Aires,Pampeana,125,4,17541141,5877,137,181.0,3.6,0.71,0.0228,3,Marzo
2021-03-22,Buenos Aires,Pampeana,242,5,17541141,6119,142,183.0,3.6,1.38,0.0285,3,Marzo
2021-03-23,Buenos Aires,Pampeana,271,7,17541141,6390,149,205.9,4.0,1.54,0.0399,3,Marzo
2021-03-24,Buenos Aires,Pampeana,316,2,17541141,6706,151,219.1,3.9,1.8,0.0114,3,Marzo
2021-03-25,Buenos Aires,Pampeana,268,4,17541141,6974,155,227.4,3.7,1.53,0.0228,3,Marzo
2021-03-26,Buenos Aires,Pampeana,272,5,17541141,7246,160,236.4,4.0,1.55,0.0285,3,Marzo
2021-03-27,Buenos Aires,Pampeana,206,3,17541141,7452,163,242.9,4.3,1.17,0.0171,3,Marzo
2021-03-28,Buenos Aires,Pampeana,245,7,17541141,7697,170,260.0,4.7,1.4,0.0399,3,Marzo
2021-03-29,Buenos Aires,Pampeana,346,8,17541141,8043,178,274.9,5.1,1.97,0.0456,3,Marzo
2021-03-30,Buenos Aires,Pampeana,334,6,17541141,8377,184,283.9,5.0,1.9,0.0342,3,Marzo
2021-03-31,Buenos Aires,Pampeana,379,10,17541141,8756,194,292.9,6.1,2.16,0.057,3,Marzo
2021-04-01,Buenos Aires,Pampeana,381,6,17541141,9137,200,309.0,6.4,2.17,0.0342,4,Abril
2021-04-02,Buenos Aires,Pampeana,422,6,17541141,9559,206,330.4,6.6,2.41,0.0342,4,Abril
2021-04-03,Buenos Aires,Pampeana,271,6,17541141,9830,212,339.7,7.0,1.54,0.0342,4,Abril
2021-04-04,Buenos Aires,Pampeana,289,6,17541141,10119,218,346.0,6.9,1.65,0.0342,4,Abril
2021-04-05,Buenos Aires,Pampeana,427,7,17541141,10546,225,357.6,6.7,2.43,0.0399,4,Abril
2021-04-06,Buenos Aires,Pampeana,411,5,17541141,10957,230,368.6,6.6,2.34,0.0285,4,Abril
2021-04-07,Buenos Aires,Pampeana,479,8,17541141,11436,238,382.9,6.3,2.73,0.0456,4,Abril
2021-04-08,Buenos Aires,Pampeana,494,8,17541141,11930,246,399.0,6.6,2.82,0.0456,4,Abril
2021-04-09,Buenos Aires,Pampeana,503,4,17541141,12433,250,410.6,6.3,2.87,0.0228,4,Abril
2021-04-10,Buenos Aires,Pampeana,358,9,17541141,12791,259,423.0,6.7,2.04,0.0513,4,Abril
2021-04-11,Buenos Aires,Pampeana,344,10,17541141,13135,269,430.9,7.3,1.96,0.057,4,Abril
2021-04-12,Buenos Aires,Pampeana,538,11,17541141,13673,280,446.7,7.9,3.07,0.0627,4,Abril
2021-04-13,Buenos Aires,Pampeana,557,13,17541141,14230,293,467.6,9.0,3.18,0.0741,4,Abril
2021-04-14,Buenos Aires,Pampeana,559,12,17541141,14789,305,479.0,9.6,3.19,0.0684,4,Abril
2021-04-15,Buenos Aires,Pampeana,594,9,17541141,15383,314,493.3,9.7,3.39,0.0513,4,Abril
2021-04-16,Buenos Aires,Pampeana,627,10,17541141,16010,324,511.0,10.6,3.57,0.057,4,Abril
2021-04-17,Buenos Aires,Pampeana,481,13,17541141,16491,337,528.6,11.1,2.74,0.0741,4,Abril
2021-04-18,Buenos Aires,Pampeana,456,11,17541141,16947,348,544.6,11.3,2.6,0.0627,4,Abril
2021-04-19,Buenos Aires,Pampeana,669,10,17541141,17616,358,563.3,11.1,3.81,0.057,4,Abril
2021-04-20,Buenos Aires,Pampeana,673,17,17541141,18289,375,579.9,11.7,3.84,0.0969,4,Abril
2021-04-21,Buenos Aires,Pampeana,633,12,17541141,18922,387,590.4,11.7,3.61,0.0684,4,Abril
2021-04-22,Buenos Aires,Pampeana,703,11,17541141,19625,398,606.0,12.0,4.01,0.0627,4,Abril
2021-04-23,Buenos Aires,Pampeana,720,9,17541141,20345,407,619.3,11.9,4.1,0.0513,4,Abril
2021-04-24,Buenos Aires,Pampeana,563,15,17541141,20908,422,631.0,12.1,3.21,0.0855,4,Abril
2021-04-25,Buenos Aires,Pampeana,516,12,17541141,21424,434,639.6,12.3,2.94,0.0684,4,Abril
2021-04-26,Buenos Aires,Pampeana,765,14,17541141,22189,448,653.3,12.9,4.36,0.0798,4,Abril
2021-04-27,Buenos Aires,Pampeana,766,16,17541141,22955,464,666.6,12.7,4.37,0.0912,4,Abril
2021-04-28,Buenos Aires,Pampeana,743,12,17541141,23698,476,682.3,12.7,4.24,0.0684,4,Abril
2021-04-29,Buenos Aires,Pampeana,822,14,17541141,24520,490,699.3,13.1,4.69,0.0798,4,Abril
2021-04-30,Buenos Aires,Pampeana,820,18,17541141,25340,508,713.6,14.4,4.67,0.1026,4,Abril
2021-05-01,Buenos Aires,Pampeana,581,11,17541141,25921,519,716.1,13.9,3.31,0.0627,5,Mayo
2021-05-02,Buenos Aires,Pampeana,551,14,17541141,26472,533,721.1,14.1,3.14,0.0798,5,Mayo
2021-05-03,Buenos Aires,Pampeana,864,14,17541141,27336,547,735.3,14.1,4.93,0.0798,5,Mayo
2021-05-04,Buenos Aires,Pampeana,786,15,17541141,28122,562,738.1,14.0,4.48,0.0855,5,Mayo
2021-05-05,Buenos Aires,Pampeana,851,15,17541141,28973,577,753.6,14.4,4.85,0.0855,5,Mayo
2021-05-06,Buenos Aires,Pampeana,904,13,17541141,29877,590,765.3,14.3,5.15,0.0741,5,Mayo
2021-05-07,Buenos Aires,Pampeana,813,14,17541141,30690,604,764.3,13.7,4.63,0.0798,5,Mayo
2021-05-08,Buenos Aires,Pampeana,580,15,17541141,31270,619,764.1,14.3,3.31,0.0855,5,Mayo
2021-05-09,Buenos Aires,Pampeana,595,15,17541141,31865,634,770.4,14.4,3.39,0.0855,5,Mayo
2021-05-10,Buenos Aires,Pampeana,834,17,17541141,32699,651,766.1,14.9,4.75,0.0969,5,Mayo
2021-05-11,Buenos Aires,Pampeana,803,17,17541141,33502,668,768.6,15.1,4.58,0.0969,5,Mayo
2021-05-12,Buenos Aires,Pampeana,851,17,17541141,34353,685,768.6,15.4,4.85,0.0969,5,Mayo
2021-05-13,Buenos Aires,Pampeana,816,16,17541141,35169,701,756.0,15.9,4.65,0.0912,5,Mayo
2021-05-14,Buenos Aires,Pampeana,860,14,17541141,36029,715,762.7,15.9,4.9,0.0798,5,Mayo
2021-05-15,Buenos Aires,Pampeana,570,16,17541141,36599,731,761.3,16.0,3.25,0.0912,5,Mayo
2021-05-16,Buenos Aires,Pampeana,619,21,17541141,37218,752,764.7,16.9,3.53,0.1197,5,Mayo
2021-05-17,Buenos Aires,Pampeana,810,18,17541141,38028,770,761.3,17.0,4.62,0.1026,5,Mayo
2021-05-18,Buenos Aires,Pampeana,818,15,17541141,38846,785,763.4,16.7,4.66,0.0855,5,Mayo
2021-05-19,Buenos Aires,Pampeana,846,18,17541141,39692,803,762.7,16.9,4.82,0.1026,5,Mayo
2021-05-20,Buenos Aires,Pampeana,778,14,17541141,40470,817,757.3,16.6,4.44,0.0798,5,Mayo
2021-05-21,Buenos Aires,Pampeana,813,14,17541141,41283,831,750.6,16.6,4.63,0.0798,5,Mayo
2021-05-22,Buenos Aires,Pampeana,586,18,17541141,41869,849,752.9,16.9,3.34,0.1026,5,Mayo
2021-05-23,Buenos Aires,Pampeana,518,13,17541141,42387,862,738.4,15.7,2.95,0.0741,5,Mayo
2021-05-24,Buenos Aires,Pampeana,784,11,17541141,43171,873,734.7,14.7,4.47,0.0627,5,Mayo
2021-05-25,Buenos Aires,Pampeana,775,16,17541141,43946,889,728.6,14.9,4.42,0.0912,5,Mayo
2021-05-26,Buenos Aires,Pampeana,779,14,17541141,44725,903,719.0,14.3,4.44,0.0798,5,Mayo
2021-05-27,Buenos Aires,Pampeana,707,14,17541141,45432,917,708.9,14.3,4.03,0.0798,5,Mayo
2021-05-28,Buenos Aires,Pampeana,692,13,17541141,46124,930,691.6,14.1,3.95,0.0741,5,Mayo
2021-05-29,Buenos Aires,Pampeana,513,13,17541141,46637,943,681.1,13.4,2.92,0.0741,5,Mayo
2021-05-30,Buenos Aires,Pampeana,499,13,17541141,47136,956,678.4,13.4,2.84,0.0741,5,Mayo
2021-05-31,Buenos Aires,Pampeana,698,12,17541141,47834,968,666.1,13.6,3.98,0.0684,5,Mayo
2021-06-01,Buenos Aires,Pampeana,687,12,17541141,48521,980,653.6,13.0,3.92,0.0684,6,Junio
2021-06-02,Buenos Aires,Pampeana,641,11,17541141,49162,991,633.9,12.6,3.65,0.0627,6,Junio
2021-06-03,Buenos Aires,Pampeana,653,10,17541141,49815,1001,626.1,12.0,3.72,0.057,6,Junio
2021-06-04,Buenos Aires,Pampeana,640,11,17541141,50455,1012,618.7,11.7,3.65,0.0627,6,Junio
2021-06-05,Buenos Aires,Pampeana,416,7,17541141,50871,1019,604.9,10.9,2.37,0.0399,6,Junio
2021-06-06,Buenos Aires,Pampeana,459,13,17541141,51330,1032,599.1,10.9,2.62,0.0741,6,Junio
2021-06-07,Buenos Aires,Pampeana,598,12,17541141,51928,1044,584.9,10.9,3.41,0.0684,6,Junio
2021-06-08,Buenos Aires,Pampeana,532,11,17541141,52460,1055,562.7,10.7,3.03,0.0627,6,Junio
2021-06-09,Buenos Aires,Pampeana,572,10,17541141,53032,1065,552.9,10.6,3.26,0.057,6,Junio
2021-06-10,Buenos Aires,Pampeana,507,10,17541141,53539,1075,532.0,10.6,2.89,0.057,6,Junio
2021-06-11,Buenos Aires,Pampeana,544,8,17541141,54083,1083,518.3,10.1,3.1,0.0456,6,Junio
2021-06-12,Buenos Aires,Pampeana,377,9,17541141,54460,1092,512.7,10.4,2.15,0.0513,6,Junio
2021-06-13,Buenos Aires,Pampeana,324,11,17541141,54784,1103,493.4,10.1,1.85,0.0627,6,Junio
2021-06-14,Buenos Aires,Pampeana,501,10,17541141,55285,1113,479.6,9.9,2.86,0.057,6,Junio
2021-06-15,Buenos Aires,Pampeana,469,13,17541141,55754,1126,470.6,10.1,2.67,0.0741,6,Junio
2021-06-16,Buenos Aires,Pampeana,466,11,17541141,56220,1137,455.4,10.3,2.66,0.0627,6,Junio
2021-06-17,Buenos Aires,Pampeana,483,10,17541141,56703,1147,452.0,10.3,2.75,0.057,6,Junio
2021-06-18,Buenos Aires,Pampeana,404,6,17541141,57107,1153,432.0,10.0,2.3,0.0342,6,Junio
2021-06-19,Buenos Aires,Pampeana,262,7,17541141,57369,1160,415.6,9.7,1.49,0.0399,6,Junio
2021-06-20,Buenos Aires,Pampeana,249,5,17541141,57618,1165,404.9,8.9,1.42,0.0285,6,Junio
2021-06-21,Buenos Aires,Pampeana,343,8,17541141,57961,1173,382.3,8.6,1.96,0.0456,6,Junio
2021-06-22,Buenos Aires,Pampeana,352,1,17541141,58313,1174,365.6,6.9,2.01,0.0057,6,Junio
2021-06-23,Buenos Aires,Pampeana,351,5,17541141,58664,1179,349.1,6.0,2.0,0.0285,6,Junio
2021-06-24,Buenos Aires,Pampeana,336,5,17541141,59000,1184,328.1,5.3,1.92,0.0285,6,Junio
2021-06-25,Buenos Aires,Pampeana,340,3,17541141,59340,1187,319.0,4.9,1.94,0.0171,6,Junio
2021-06-26,Buenos Aires,Pampeana,212,8,17541141,59552,1195,311.9,5.0,1.21,0.0456,6,Junio
2021-06-27,Buenos Aires,Pampeana,234,3,17541141,59786,1198,309.7,4.7,1.33,0.0171,6,Junio
2021-06-28,Buenos Aires,Pampeana,271,6,17541141,60057,1204,299.4,4.4,1.54,0.0342,6,Junio
2021-06-29,Buenos Aires,Pampeana,350,11,17541141,60407,1215,299.1,5.9,2.0,0.0627,6,Junio
2021-06-30,Buenos Aires,Pampeana,276,1,17541141,60683,1216,288.4,5.3,1.57,0.0057,6,Junio
2021-07-01,Buenos Aires,Pampeana,222,4,17541141,60905,1220,272.1,5.1,1.27,0.0228,7,Julio
2021-07-02,Buenos Aires,Pampeana,205,4,17541141,61110,1224,252.9,5.3,1.17,0.0228,7,Julio
2021-07-03,Buenos Aires,Pampeana,170,3,17541141,61280,1227,246.9,4.6,0.97,0.0171,7,Julio
2021-07-04,Buenos Aires,Pampeana,149,6,17541141,61429,1233,234.7,5.0,0.85,0.0342,7,Julio
2021-07-05,Buenos Aires,Pampeana,233,6,17541141,61662,1239,229.3,5.0,1.33,0.0342,7,Julio
2021-07-06,Buenos Aires,Pampeana,217,5,17541141,61879,1244,210.3,4.1,1.24,0.0285,7,Julio
2021-07-07,Buenos Aires,Pampeana,194,2,17541141,62073,1246,198.6,4.3,1.11,0.0114,7,Julio
2021-07-08,Buenos Aires,Pampeana,163,8,17541141,62236,1254,190.1,4.9,0.93,0.0456,7,Julio
2021-07-09,Buenos Aires,Pampeana,137,0,17541141,62373,1254,180.4,4.3,0.78,0.0,7,Julio
2021-07-10,Buenos Aires,Pampeana,114,1,17541141,62487,1255,172.4,4.0,0.65,0.0057,7,Julio
2021-07-11,Buenos Aires,Pampeana,137,3,17541141,62624,1258,170.7,3.6,0.78,0.0171,7,Julio
2021-07-12,Buenos Aires,Pampeana,172,3,17541141,62796,1261,162.0,3.1,0.98,0.0171,7,Julio
2021-07-13,Buenos Aires,Pampeana,123,3,17541141,62919,1264,148.6,2.9,0.7,0.0171,7,Julio
2021-07-14,Buenos Aires,Pampeana,161,5,17541141,63080,1269,143.9,3.3,0.92,0.0285,7,Julio
2021-07-15,Buenos Aires,Pampeana,164,2,17541141,63244,1271,144.0,2.4,0.93,0.0114,7,Julio
2021-07-16,Buenos Aires,Pampeana,122,3,17541141,63366,1274,141.9,2.9,0.7,0.0171,7,Julio
2021-07-17,Buenos Aires,Pampeana,105,1,17541141,63471,1275,140.6,2.9,0.6,0.0057,7,Julio
2021-07-18,Buenos Aires,Pampeana,101,4,17541141,63572,1279,135.4,3.0,0.58,0.0228,7,Julio
2021-07-19,Buenos Aires,Pampeana,106,2,17541141,63678,1281,126.0,2.9,0.6,0.0114,7,Julio
2021-07-20,Buenos Aires,Pampeana,150,2,17541141,63828,1283,129.9,2.7,0.86,0.0114,7,Julio
2021-07-21,Buenos Aires,Pampeana,154,3,17541141,63982,1286,128.9,2.4,0.88,0.0171,7,Julio
2021-07-22,Buenos Aires,Pampeana,169,4,17541141,64151,1290,129.6,2.7,0.96,0.0228,7,Julio
2021-07-23,Buenos Aires,Pampeana,167,0,17541141,64318,1290,136.0,2.3,0.95,0.0,7,Julio
2021-07-24,Buenos Aires,Pampeana,65,3,17541141,64383,1293,130.3,2.6,0.37,0.0171,7,Julio
2021-07-25,Buenos Aires,Pampeana,75,2,17541141,64458,1295,126.6,2.3,0.43,0.0114,7,Julio
2021-07-26,Buenos Aires,Pampeana,151,5,17541141,64609,1300,133.0,2.7,0.86,0.0285,7,Julio
2021-07-27,Buenos Aires,Pampeana,151,2,17541141,64760,1302,133.1,2.7,0.86,0.0114,7,Julio
2021-07-28,Buenos Aires,Pampeana,152,5,17541141,64912,1307,132.9,3.0,0.87,0.0285,7,Julio
2021-07-29,Buenos Aires,Pampeana,254,1,17541141,65166,1308,145.0,2.6,1.45,0.0057,7,Julio
2021-07-30,Buenos Aires,Pampeana,157,0,17541141,65323,1308,143.6,2.6,0.9,0.0,7,Julio
2021-07-31,Buenos Aires,Pampeana,123,5,17541141,65446,1313,151.9,2.9,0.7,0.0285,7,Julio
2021-08-01,Buenos Aires,Pampeana,121,1,17541141,65567,1314,158.4,2.7,0.69,0.0057,8,Agosto
2021-08-02,Buenos Aires,Pampeana,166,0,17541141,65733,1314,160.6,2.0,0.95,0.0,8,Agosto
2021-08-03,Buenos Aires,Pampeana,140,3,17541141,65873,1317,159.0,2.1,0.8,0.0171,8,Agosto
2021-08-04,Buenos Aires,Pampeana,176,2,17541141,66049,1319,162.4,1.7,1.0,0.0114,8,Agosto
2021-08-05,Buenos Aires,Pampeana,133,4,17541141,66182,1323,145.1,2.1,0.76,0.0228,8,Agosto
2021-08-06,Buenos Aires,Pampeana,153,4,17541141,66335,1327,144.6,2.7,0.87,0.0228,8,Agosto
2021-08-07,Buenos Aires,Pampeana,105,3,17541141,66440,1330,142.0,2.4,0.6,0.0171,8,Agosto
2021-08-08,Buenos Aires,Pampeana,120,1,17541141,66560,1331,141.9,2.4,0.68,0.0057,8,Agosto
2021-08-09,Buenos Aires,Pampeana,243,3,17541141,66803,1334,152.9,2.9,1.39,0.0171,8,Agosto
2021-08-10,Buenos Aires,Pampeana,122,3,17541141,66925,1337,150.3,2.9,0.7,0.0171,8,Agosto
2021-08-11,Buenos Aires,Pampeana,204,4,17541141,67129,1341,154.3,3.1,1.16,0.0228,8,Agosto
2021-08-12,Buenos Aires,Pampeana,140,1,17541141,67269,1342,155.3,2.7,0.8,0.0057,8,Agosto
2021-08-13,Buenos Aires,Pampeana,180,2,17541141,67449,1344,159.1,2.4,1.03,0.0114,8,Agosto
2021-08-14,Buenos Aires,Pampeana,163,4,17541141,67612,1348,167.4,2.6,0.93,0.0228,8,Agosto
2021-08-15,Buenos Aires,Pampeana,146,6,17541141,67758,1354,171.1,3.3,0.83,0.0342,8,Agosto
2021-08-16,Buenos Aires,Pampeana,180,5,17541141,67938,1359,162.1,3.6,1.03,0.0285,8,Agosto
2021-08-17,Buenos Aires,Pampeana,198,4,17541141,68136,1363,173.0,3.7,1.13,0.0228,8,Agosto
2021-08-18,Buenos Aires,Pampeana,246,3,17541141,68382,1366,179.0,3.6,1.4,0.0171,8,Agosto
2021-08-19,Buenos Aires,Pampeana,211,5,17541141,68593,1371,189.1,4.1,1.2,0.0285,8,Agosto
2021-08-20,Buenos Aires,Pampeana,246,2,17541141,68839,1373,198.6,4.1,1.4,0.0114,8,Agosto
2021-08-21,Buenos Aires,Pampeana,174,3,17541141,69013,1376,200.1,4.0,0.99,0.0171,8,Agosto
2021-08-22,Buenos Aires,Pampeana,164,8,17541141,69177,1384,202.7,4.3,0.93,0.0456,8,Agosto
2021-08-23,Buenos Aires,Pampeana,327,5,17541141,69504,1389,223.7,4.3,1.86,0.0285,8,Agosto
2021-08-24,Buenos Aires,Pampeana,289,4,17541141,69793,1393,236.7,4.3,1.65,0.0228,8,Agosto
2021-08-25,Buenos Aires,Pampeana,217,6,17541141,70010,1399,232.6,4.7,1.24,0.0342,8,Agosto
2021-08-26,Buenos Aires,Pampeana,292,7,17541141,70302,1406,244.1,5.0,1.66,0.0399,8,Agosto
2021-08-27,Buenos Aires,Pampeana,274,4,17541141,70576,1410,248.1,5.3,1.56,0.0228,8,Agosto
